Department,GivenName,Manager,Name,OfficePhone,SamAccountName,sn,Title
Content Management Consulting,Vladimir,CN=Stan Orme,Vladimir Egorov,(212) 555-9441,vladime,Egorov,Content Management Consultant
Content Management Consulting,Esther,CN=Stan Orme,Esther Valle,(20) 5555-8548,estherv,Valle,Content Management Consultant
Strategy Consulting,Lori,CN=Brad Sutton,Lori Kane,(206) 555-5292,lorik,Kane,Strategy Consultant
Engineering Operations,Cliff,CN=Carol Troup,Cliff Diddier,(206) 555-3748,cliffd,Diddier,Engineer
Engineering Operations,Chen,CN=Carol Troup,Chen Yang,(206) 555-6173,cheny,Yang,Engineer
Engineering Operations,Bernard,CN=Carol Troup,Bernard Tham,(206) 555-3119,bernart,Tham,Engineer
Engineering Operations,Ari,CN=Carol Troup,Ari Suominen,(206) 555-7231,aris,Suominen,Engineer
Creative,Anu,CN=Carol Troup,Anu Deshpande,(206) 555-6699,anud,Deshpande,Engineer
Engineering Operations,Allan,CN=Carol Troup,Allan Guinot,(206) 555-6127,allang,Guinot,Engineer
CRM Strategy,Toby,CN=Syed Abbas,Toby Nixon,(20) 5555-4379,tobyn,Nixon,CRM Consultant
CRM Strategy,Tad,CN=Syed Abbas,Tad Orman,(20) 5555-4625,tado,Orman,CRM Consultant
CRM Strategy,Jeff,CN=Syed Abbas,Jeff Williams,(20) 5555-2592,jeffw,Williams,CRM Consultant
Strategy Consulting,Frank,CN=David Maman,Frank Miller,(212) 555-5231,frankm,Miller,Strategy Consultant
Strategy Consulting,William,CN=Cesar Garcia,William Vong,(212) 555-5864,williav,Vong,Strategy Consultant
Strategy Consulting,Sameer,CN=Ellen Adams,Sameer Tejani,(212) 555-5422,sameert,Tejani,Strategy Consultant
Strategy Consulting,Jon,CN=Brad Sutton,Jon Jaffe,(206) 555-5499,jonj,Jaffe,Strategy Consultant
Strategy Consulting,Mike,CN=David Maman,Mike Ray,(212) 555-1665,miker,Ray,Strategy Consultant
Content Management Consulting,Robert,CN=Stan Orme,Robert O'Hara,(206) 555-3434,roberto,O'Hara,Content Management Consultant
Strategy Consulting,Lisa,CN=Cesar Garcia,Lisa Miller,(206) 555-7947,lisam,Miller,Strategy Consultant
CRM Strategy,Jason,CN=Syed Abbas,Jason Carlson,(20) 5555-6548,jasonc,Carlson,CRM Consultant
Strategy Consulting,Jim,CN=David Maman,Jim Corbin,(206) 555-8157,jimc,Corbin,Strategy Consultant
Strategy Consulting,Jesus,CN=Aaron Painter,Jesus Escolar,(206) 555-5784,jesuse,Escolar,Strategy Consultant
Strategy Consulting,Idan,CN=Brad Sutton,Idan Rubin,(206) 555-5862,idanr,Rubin,Strategy Consultant
Strategy Consulting,Don,CN=Ellen Adams,Don Hall,(206) 555-3518,donh,Hall,Strategy Consultant
Strategy Consulting,Blaine,CN=Ellen Adams,Blaine Dockter,(206) 555-4484,blained,Dockter,Strategy Consultant
Strategy Consulting,Anne,CN=Cesar Garcia,Anne Weiler,(206) 555-6443,annew,Weiler,Strategy Consultant
Strategy Consulting,Allison,CN=Aaron Painter,Allison Brown,(206) 555-5461,allisob,Brown,Strategy Consultant
Engineering Operations,Valery,CN=Carol Troup,Valery Ushakov,(206) 555-3599,valeryu,Ushakov,Engineer
CRM Strategy,Tosh,CN=Syed Abbas,Tosh Meston,(20) 5555-1394,toshm,Meston,CRM Consultant
Content Management Consulting,Sanjay,CN=Stan Orme,Sanjay Patel,(206) 555-5542,sanjayp,Patel,Content Management Consultant
Strategy Consulting,Roland,CN=Aaron Painter,Roland Wacker,(212) 555-8236,rolandw,Wacker,Strategy Consultant
1099 Contractor,David,CN=Brian Groth,David Derwin,(206) 555-7749,davidd,Derwin,Project Manager
Strategy Consulting,John,CN=Ellen Adams,John Yokum,(206) 555-8147,johny,Yokum,Strategy Consultant
1099 Contractor,Scott,CN=Brian Groth,Scott Rockfield,(206) 555-5233,scottr,Rockfield,Project Manager
1099 Contractor,Humberto,CN=Brian Groth,Humberto Acevedo,(206) 555-9549,humbera,Acevedo,Project Manager
1099 Contractor,David,CN=Brian Groth,David So,(206) 555-1459,davids1,So,Project Manager
1099 Contractor,Anders,CN=Brian Groth,Anders Madsen,(206) 555-7593,andersm,Madsen,Project Manager
1099 Contractor,Alexandre,CN=Brian Groth,Alexandre Silva,(206) 555-5413,alexans,Silva,Project Manager
1099 Contractor,Stuart,CN=Brian Groth,Stuart Munson,(206) 555-9366,stuartm,Munson,Project Manager
1099 Contractor,Qiong,CN=Brian Groth,Qiong Wu,(206) 555-2342,qiongw,Wu,Project Manager
1099 Contractor,Michiko,CN=Brian Groth,Michiko Osada,(206) 555-1577,michiko,Osada,Project Manager
1099 Contractor,Michael,CN=Brian Groth,Michael Zeman,(206) 555-7177,michaez,Zeman,Project Manager
1099 Contractor,Maurice,CN=Brian Groth,Maurice Taylor,(206) 555-3382,maurict,Taylor,Project Manager
1099 Contractor,Guido,CN=Brian Groth,Guido Pica,(206) 555-4724,guidop,Pica,Project Manager
1099 Contractor,Jessica,CN=Brian Groth,Jessica Arnold,(206) 555-3415,jessica,Arnold,Project Manager
Accounting,Chase,CN=Karim Manar,Chase Carpenter,(206) 555-9764,chasec,Carpenter,Accountant
1099 Contractor,Terrence,CN=Jenni Merrifield,Terrence Phillip,(206) 555-1678,terrenp,Phillip,Strategy Consultant
1099 Contractor,Hugo,CN=Jenni Merrifield,Hugo Garcia,(206) 555-6852,hugog,Garcia,Strategy Consultant
1099 Contractor,Jeremy,CN=Jenni Merrifield,Jeremy Los,(206) 555-8792,jeremyl,Los,Strategy Consultant
1099 Contractor,John,CN=Jenni Merrifield,John Ganio,(206) 555-6235,johng,Ganio,Strategy Consultant
1099 Contractor,Lina,CN=Jenni Merrifield,Lina Abola,(206) 555-4666,linaa,Abola,Strategy Consultant
1099 Contractor,Mark,CN=Jenni Merrifield,Mark Hanson,(206) 555-7794,markh,Hanson,Strategy Consultant
1099 Contractor,Jaka,CN=Brian Groth,Jaka Stele,(206) 555-6963,jakas,Stele,Project Manager
1099 Contractor,Steven,CN=Jenni Merrifield,Steven Wright,(206) 555-3155,stevenw,Wright,Strategy Consultant
1099 Contractor,Dough,CN=Brian Groth,Dough Mahugh,(206) 555-7139,doughm,Mahugh,Project Manager
1099 Contractor,Andrea,CN=Brian Groth,Andrea Dunker,(206) 555-1413,andread,Dunker,Project Manager
1099 Contractor,Carlos,CN=Brian Groth,Carlos Grilo,(206) 555-4536,carlosg,Grilo,Project Manager
1099 Contractor,Chris,CN=Brian Groth,Chris McGurk,(206) 555-1833,chrism,McGurk,Project Manager
1099 Contractor,Dan,CN=Brian Groth,Dan Bacon,(206) 555-2464,danb,Bacon,Project Manager
1099 Contractor,Daniel,CN=Brian Groth,Daniel Durrer,(206) 555-8793,danield,Durrer,Project Manager
Accounting,James,CN=Karim Manar,James Wittrell,(415) 555-2597,jamesw,Wittrell,Accountant
1099 Contractor,Scott,CN=Jenni Merrifield,Scott MacDonald,(206) 555-8452,scottm,MacDonald,Strategy Consultant
Strategy Consulting,Renee,CN=Aaron Painter,Renee Lo,(206) 555-6864,reneel,Lo,Strategy Consultant
Content Management Consulting,Cari,CN=Stan Orme,Cari Drummelle,(212) 555-3889,carid,Drummelle,Content Management Consultant
Content Management Consulting,Alfons,CN=Stan Orme,Alfons Parovszky,(206) 555-1659,alfonsp,Parovszky,Content Management Consultant
Content Management Consulting,Matt,CN=Stan Orme,Matt Hink,(206) 555-4157,matth,Hink,Content Management Consultant
CRM Strategy,Lorraine,CN=Syed Abbas,Lorraine Nay,(20) 5555-8569,lorrain,Nay,CRM Consultant
Strategy Consulting,Iben,CN=Brad Sutton,Iben Thorell,(206) 555-7167,ibent,Thorell,Strategy Consultant
Content Management Consulting,Magnus,CN=Stan Orme,Magnus Hedlund,(206) 555-7213,magnush,Hedlund,Business Process Manager
Content Management Consulting,Erik,CN=Stan Orme,Erik Andersen,(206) 555-6448,erica,Andersen,Content Management Consultant
Engineering Operations,Corinna,CN=Carol Troup,Corinna Bolender,(206) 555-9821,corinnb,Bolender,Engineer
Strategy Consulting,Trey,CN=Cesar Garcia,Trey Pratt,(206) 555-2297,treyp,Pratt,Strategy Consultant
Sales,John,CN=Jose Saraiva,John Kane,(214) 555-8332,johnk,Kane,Salesperson
Strategy Consulting,Parna,CN=Aaron Painter,Parna Khot,(206) 555-8454,parnak,Khot,Strategy Consultant
Strategy Consulting,Kim,CN=David Maman,Kim Ralls,(206) 555-1443,kimr,Ralls,Strategy Consultant
Strategy Consulting,Jan,CN=Brad Sutton,Jan Kotas,(206) 555-4747,jank,Kotas,Strategy Consultant
1099 Contractor,Thomas,CN=Brian Groth,Thomas Hamborg,(206) 555-4112,thomash,Hamborg,Project Manager
Strategy Consulting,Lolan,CN=David Maman,Lolan Song,(206) 555-1913,lolans,Song,Strategy Consultant
Accounting,Lars,CN=Karim Manar,Lars Hansson,(415) 555-7777,larsh,Hansson,Accounting Manager
Accounting,Jill,CN=Karim Manar,Jill Frank,(425) 555-9559,jillf,Frank,Accountant
Accounting,Joel,CN=Karim Manar,Joel Lachance,(206) 555-6848,joell,Lachance,Accountant
Strategy Consulting,John,CN=Aaron Painter,John John,(206) 555-5846,johne,John,Strategy Consultant
Strategy Consulting,Jun,CN=Cesar Garcia,Jun Cao,(206) 555-3449,junc,Cao,Strategy Consultant
Strategy Consulting,Tony,CN=Ellen Adams,Tony Wang,(206) 555-4595,tonyw,Wang,Strategy Consultant
Strategy Consulting,Kenneth,CN=Brad Sutton,Kenneth Cools,(206) 555-4886,kennetc,Cools,Strategy Consultant
Strategy Consulting,Steve,CN=Cesar Garcia,Steve Masters,(206) 555-4557,stevem,Masters,Strategy Consultant
Strategy Consulting,Lubor,CN=Aaron Painter,Lubor Kollar,(206) 555-8223,lubork,Kollar,Strategy Consultant
Strategy Consulting,Michael,CN=Cesar Garcia,Michael Ludwig,(206) 555-6621,michael,Ludwig,Strategy Consultant
Strategy Consulting,Michael,CN=Ellen Adams,Michael Lund,(206) 555-4295,michal1,Lund,Strategy Consultant
Strategy Consulting,Michael,CN=Brad Sutton,Michael Sullivan,(206) 555-8398,michaes,Sullivan,Strategy Consultant
Strategy Consulting,Ray,CN=David Maman,Ray Chow,(206) 555-5295,rayc,Chow,Strategy Consultant
Content Management Consulting,Diane,CN=Stan Orme,Diane Glimp,(212) 555-3984,dianeg,Glimp,Content Management Consultant
Strategy Consulting,Ken,CN=Ellen Adams,Ken Malcolmson,(206) 555-8879,kenm,Malcolmson,Strategy Consultant
Project Management,Manueal,CN=Barry Johnson,Manueal Machado,(206) 555-2246,manueam,Machado,Senior Project Manager
Sales,Luca,CN=April Stewart,Luca Dellamore,(06) 5555-8461,lucad,Dellamore,Salesperson
Project Management,Ivo,CN=Andrew Ma,Ivo Salmre,(206) 555-2699,ivos,Salmre,Project Manager
Sales,Howard,CN=Lene Aalling,Howard Gonzalez,(20) 5555-6851,howardg,Gonzalez,Salesperson
Sales,Elizabeth,CN=Arthur Yasinski,Elizabeth Andersen,(617) 555-7395,elizaba,Andersen,Salesperson
Project Management,Denis,CN=Barry Johnson,Denis Dehenne,(206) 555-6492,denisd,Dehenne,Project Manager
Sales,David,CN=David Simpson,David Wright,(404) 555-9264,davidw,Wright,Salesperson
Project Management,Chris,CN=Mike Nash,Chris Barry,(206) 555-9267,chrisb,Barry,Project Manager
Project Management,Ayla,CN=Scott Bishop,Ayla Kol,(206) 555-3448,aylak,Kol,Project Manager
Project Management,Alisa,CN=Scott Bishop,Alisa Lawyer,(206) 555-4738,alisal,Lawyer,Project Manager
Project Management,Simon,CN=Scott Bishop,Simon Rapier,(206) 555-9848,simonr,Rapier,Senior Project Manager
Project Management,Rob,CN=Chris Norred,Rob Barker,(206) 555-2474,robb,Barker,Project Manager
Sales,Hazem,CN=Lene Aalling,Hazem Abolrous,(707) 555-3823,hazema,Abolrous,Salesperson
Project Management,Ned,CN=Chris Norred,Ned Friend,(206) 555-8382,nedf,Friend,Project Manager
Project Management,Richard,CN=Andrew Ma,Richard Tupy,(206) 555-1694,richart,Tupy,Project Manager
Project Management,Don,CN=Chris Norred,Don Funk,(206) 555-6561,donf,Funk,Project Manager
Project Management,Dave,CN=Chris Norred,Dave Natsuhara,(206) 555-9299,daven,Natsuhara,Project Manager
Project Management,Christian,CN=Chris Norred,Christian Rytt,(206) 555-5488,christr,Rytt,Project Manager
Project Management,Ted,CN=Chris Norred,Ted Bremer,(206) 555-3874,tedb,Bremer,Business Process Manager
Project Management,Sean,CN=Chris Norred,Sean Purcell,(206) 555-6953,seanp,Purcell,Business Process Manager
Project Management,Ray,CN=Barry Johnson,Ray Mohrman,(206) 555-1471,raym,Mohrman,Senior Project Manager
Project Management,Mike,CN=Chris Norred,Mike Tiano,(206) 555-6552,miket,Tiano,Business Process Manager
Project Management,Margaret,CN=Chris Norred,Margaret Au,(206) 555-2918,margara,Au,Business Process Manager
Project Management,Jesper,CN=Chris Norred,Jesper Aaberg,(206) 555-1783,jespera,Aaberg,Project Manager
Project Management,Danni,CN=Andrew Ma,Danni Ortman,(206) 555-6667,dannio,Ortman,Senior Project Manager
Project Management,Andy,CN=Scott Bishop,Andy Jacobs,(206) 555-4262,andyj,Jacobs,Senior Project Manager
Operations,Mchiel,CN=Keith Dishmo,Mchiel Wories,(206) 555-4539,mchielw,Wories,Procurement Manager
Project Management,Nuria,CN=Mike Nash,Nuria Gonzalez,(206) 555-8185,nuriag,Gonzalez,Senior Project Manager
Sales Engagement Management,Ty,CN=Lene Aalling,Ty Carlson,(701) 555-4446,tyc,Carlson,Salesperson
Senior Management,Cassie,CN=Adam Barr,Cassie Hicks,(425) 555-0129,cassieh,Hicks,Director of Client Services
Senior Management,Sean,CN=Molly Clark,Sean Chai,(425) 555-0193,seanc,Chai,Director of Affiliate Marketing and Partnerships
Senior Management,Todd,CN=Diane Prescott,Todd Rowe,(425) 555-0124,toddr,Rowe,Sr. Media Planner
CVP of IT,Tai,CN=Jeff Hay,Tai Lee,(425) 555-0131,tail,Lee,President of Services
Senior Management,Greg,CN=Jeff Hay,Greg Winston,(425) 555-0140,gregw,Winston,President of Management
Executive,Sanjay,CN=Dan Jump,Sanjay Shah,(425) 555-0107,sanjays,Shah,Chief of Technical Strategy
Executive,Toni,CN=Dan Jump,Toni Poe,(425) 555-0196,tonip,Poe,Chief of Partnerships and Strategy
Executive,Jim,CN=Dan Jump,Jim Daly,(425) 555-0116,jimd,Daly,CFO
Sales Engagement Management,Tom,CN=David Simpson,Tom Youtsey,(206) 555-4331,tomy,Youtsey,Salesperson
Sales Engagement Management,Kerim,CN=David Simpson,Kerim Hanif,(206) 555-5661,kerimh,Hanif,Salesperson
Sales Engagement Management,Jamie,CN=David Simpson,Jamie Reding,(206) 555-2363,jamier,Reding,Salesperson
Sales Engagement Management,Ye,CN=Arthur Yasinski,Ye Xu,(214) 555-7757,yex,Xu,Salesperson
Sales,Marko,CN=April Stewart,Marko Zajc,(09) 5555-3784,markoz,Zajc,Salesperson
Sales Engagement Management,Fabrice,CN=Arthur Yasinski,Fabrice Canel,(214) 555-8815,fabricc,Canel,Salesperson
Sales,Pavel,CN=David Simpson,Pavel Simsa,(06) 5555-1284,pavels,Simsa,Salesperson
Sales Engagement Management,Vernette,CN=Lene Aalling,Vernette Price,(701) 555-6828,vernettp,Price,Salesperson
Sales Engagement Management,Nate,CN=Lene Aalling,Nate Sun,(701) 555-7818,nates,Sun,Salesperson
Sales Engagement Management,Tina,CN=April Stewart,Tina Makovec,(804) 555-2465,tinam,Makovec,Salesperson
Sales Engagement Management,Neil,CN=April Stewart,Neil Orint,(804) 555-5958,neilo,Orint,Salesperson
Sales Engagement Management,Luka,CN=April Stewart,Luka Abrus,(804) 555-3648,lukaa,Abrus,Salesperson
Sales Engagement Management,Euan,CN=April Stewart,Euan Garden,(804) 555-3383,euang,Garden,Salesperson
Sales,Eran,CN=Jose Saraiva,Eran Harel,(213) 555-1265,eranh,Harel,Salesperson
Sales,Michael,CN=Jose Saraiva,Michael Ovesen,(201) 555-5625,michaeo,Ovesen,Salesperson
Sales,Kim,CN=Jose Saraiva,Kim Abercrombie,(410) 555-3839,kima,Abercrombie,Salesperson
Operations,Rob,CN=Arturo Lopez,Rob Young,(206) 555-1739,roby,Young,IT Manager
Project Management,Terry,CN=Mike Nash,Terry Earls,(206) 555-3164,terrye,Earls,Project Manager
Operations,Michael,CN=Erika Cheley,Michael Mainer,(206) 555-4542,michaem,Mainer,Manager
Sales Engagement Management,Sven,CN=Arthur Yasinski,Sven Buck,(214) 555-4151,svenb,Buck,Salesperson
Sales,Eric,CN=Lene Aalling,Eric Gruber,(206) 555-4629,ericg,Gruber,Salesperson
Operations,Jelle,CN=Keith Dishmo,Jelle Visser,(206) 555-4932,jellev,Visser,Procurement Manager
Sales,Erik,CN=April Stewart,Erik Gubbels,(425) 555-9296,erikg,Gubbels,Salesperson
Sales,Dominik,CN=Jose Saraiva,Dominik Paiha,(212) 555-2538,dominip,Paiha,Salesperson
Sales,Dan,CN=Arthur Yasinski,Dan Hough,(607) 555-4568,danh,Hough,Salesperson
Sales,Tina,CN=Arthur Yasinski,Tina Lassila,(607) 555-6337,tinal,Lassila,Salesperson
Sales,Nuno,CN=David Simpson,Nuno Farinha,(214) 555-1812,nunof,Farinha,Salesperson
Sales,Maru,CN=April Stewart,Maru Subrmani,(850) 555-5277,marus,Subrmani,Salesperson
Sales,Marc,CN=David Simpson,Marc Faerber,(213) 555-3269,marcf,Faerber,Salesperson
Sales,Kari,CN=Jose Saraiva,Kari Furse,(541) 555-2668,karif,Furse,Salesperson
Senior Management,Karen,CN=Julian Isla,Karen Berg,(425) 555-0174,karenb,Berg,Sr. Account Manager
Human Resources,Ian,CN=Amy Alberts,Ian Tien,(206) 555-1437,iant,Tien,HR Specialist
Sales,Scott,CN=David Simpson,Scott Gode,(201) 555-8474,scottg,Gode,Salesperson
Sales,Gina,CN=Arthur Yasinski,Gina Boyer,(509) 555-3766,ginab,Boyer,Salesperson
Sales,Annelie,CN=Jose Saraiva,Annelie Zubar,2555-4845,anneliz,Zubar,Salesperson
Sales,David,CN=April Stewart,David Bossard,(206) 555-1422,davidb,Bossard,Salesperson
Sales,Alicia,CN=David Simpson,Alicia Thomber,(714) 555-4825,aliciat,Thomber,Salesperson
Sales,Marcelo,CN=Jose Saraiva,Marcelo Truffat,(206) 555-1785,marcelt,Truffat,Salesperson
Engineering Operations,Tony,CN=Carol Troup,Tony Madigan,(206) 555-6941,tonym,Madigan,Senior Engineer
Engineering Operations,Sunil,CN=Carol Troup,Sunil Koduri,(206) 555-5651,sunilk,Koduri,Senior Engineer
Engineering Operations,Simon,CN=Carol Troup,Simon Pearson,(206) 555-2318,simonp,Pearson,Senior Engineer
Engineering Operations,Paul,CN=Carol Troup,Paul Duffy,(206) 555-9351,pauld,Duffy,Senior Engineer
Engineering Operations,Kate,CN=Carol Troup,Kate Taneyhill,(206) 555-2732,katet,Taneyhill,Senior Engineer
Engineering Operations,Chris,CN=Carol Troup,Chris Gray,(206) 555-9244,chrisg,Gray,Senior Engineer
Engineering Operations,Stephen,CN=Carol Troup,Stephen Deming,(206) 555-1211,stephed,Deming,Engineer
Engineering Operations,Olivier,CN=Carol Troup,Olivier Fontana,(206) 555-7444,olivief,Fontana,Engineer
Engineering Operations,Michelle,CN=Carol Troup,Michelle Fredette,(206) 555-6132,michelf,Fredette,Engineer
Strategy Consulting,Arlene,CN=Jenni Merrifield,Arlene Huff,(206) 555-9538,arleneh,Huff,Strategy Consultant
Marketing,Pieter,CN=Kelly Krout,Pieter Wycoff,(206) 555-9269,pieterw,Wycoff,Marketing Specialist
Engineering Operations,Erwin,CN=Carol Troup,Erwin Zischka,(206) 555-8835,erwinz,Zischka,Engineer
Operations,Lukas,CN=Erika Cheley,Lukas Keller,(206) 555-3556,lukask,Keller,Manager
Operations,Ken,CN=Erika Cheley,Ken Ewert,(206) 555-7698,kene,Ewert,Manager
Operations,Justin,CN=Erika Cheley,Justin Thorp,(206) 555-1393,justint,Thorp,Manager
Operations,Jon,CN=Erika Cheley,Jon Grande,(206) 555-7649,jong,Grande,Manager
Operations,Jo,CN=Ben Spain,Jo Berry,(206) 555-9867,job,Berry,Manager
Operations,Hans,CN=Ben Spain,Hans Gufler,(206) 555-1298,hansg,Gufler,Manager
Operations,David,CN=Ben Spain,David Bradley,(206) 555-5934,davidb1,Bradley,Manager
Operations,Marie,CN=Arturo Lopez,Marie Dubois,(206) 555-5567,maried,Dubois,IT Manager
Operations,Kevin,CN=Arturo Lopez,Kevin Kennedy,(206) 555-7455,kevink,Kennedy,IT Manager
Operations,Kai,CN=Arturo Lopez,Kai Axford,(206) 555-9541,kaia,Axford,IT Manager
Sales,Manish,CN=Lene Aalling,Manish Chopra,(413) 555-3855,manishc,Chopra,Salesperson
Marketing,Sunil,CN=Kelly Krout,Sunil Uppal,(206) 555-2416,sunilu,Uppal,Public Relations Specialist
Sales,Luis,CN=Arthur Yasinski,Luis Bonifaz,(108) 5-7862,luisb,Bonifaz,Salesperson
Sales,Kevin,CN=Arthur Yasinski,Kevin Verboort,(206) 555-3654,kevinv,Verboort,Salesperson
